Index,Record,Filename,Name,URL,Group,Library,Calcite,Chlorite,Dolomite,Goethite,Gypsum,Hematite,Illite+Muscovite,Kaolinite,Montmorillonite,Vermiculite,Iron Oxide,Clay,Carbonate,Sulfate,Sulfide,Artifical Materials,Vegetation,Coating,Biotite,Status_vs_527,T6_Filename,T6_Record,T6_Materials,T6_IDConfidence,NeedsSignoff,MappingNotes
53,660,group.1um/fe2+_chlorite.clinochlor,Clinochlore GDS158 Flagst W1R1Hb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Clinochlore_GDS158_Flagstaff_ASDNGb_AREF.html,1,sprlb06,,,,,,,,,,,,,,,,,,,,identical,group.1um/fe2+_chlorite.clinochlor,660,clinochlore,4,no,
54,1200,group.1um/fe2+_chlorite.Felow.clinochlor,Clinochlore NMNH83369 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Clinochlore_NMNH83369_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+_chlorite.Felow.clinochlor,1200,fe2+generic_clinochlore,9,no,
55,4890,group.1um/fe2+_chlorite.thuringite,Thuringite SMR-15.c 32um W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Thuringite_SMR-15.c_32um_NIC4aa_RREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+_chlorite.thuringite,4890,fe2+_chlorite.thuringite,4,no,
56,720,group.1um/copper_carbonate_azurite,Azurite WS316 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Azurite_WS316_BECKa_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,,identical,group.1um/copper_carbonate_azurite,720,azurite,9,no,
57,3990,group.1um/fe3+copper-hydroxide_pitchlimonite,Pitch_Limonite GDS104 Cu W1R1B?,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Pitch_Limonite_GDS104_Cu_BECKu_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe3+copper-hydroxide_pitchlimonite,3990,pitchlimonite,5,no,
58,2964,group.1um/copper_carbonate_malachite,Malachite HS254.3B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Malachite_HS254.3B_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,,identical,group.1um/copper_carbonate_malachite,2964,malachite,9,no,
59,5496,group.1um/copper_sulfate_bluefflor,Blue_Efflorscnt_Min SU93-300 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Blue_Efflorscnt_Min_SU93-300_BECKb_AREF.html,1,splib06,,,,,,,,,,,,,,-1,,,,,,identical,group.1um/copper_sulfate_bluefflor,5496,copper_sulfate,4,no,
60,6594,group.1um/copper_precipitate_greenslime,Green_Slime SM93-14A Summitv W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Green_Slime_SM93-14A_Summitv_BECKa_AREF.html,1,splib06,,,,,,,,,,,,,,,,,,,,identical,group.1um/copper_precipitate_greenslime,6594,copper_precipitate,3,no,
61,3696,group.1um/fe2+_olivine-lrg-gr,Olivine HS285.4B Fo80 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Olivine_HS285.4B_Fo80_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+_olivine-lrg-gr,3696,olivine,8,no,
62,3666,group.1um/fe2+_olivine-fine-gr,Olivine GDS71.a Fo91 65um W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Olivine_GDS71.a_Fo91_65um_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+_olivine-fine-gr,3666,olivine,8,no,
